user,revenue,units,ls_date,tsls,rating,ttp,total_sessions,completed,completed_post,win_rate,tries,device,tbs,tsad
3567,0,0,20150526,90252,-1,548,3,0.155555555556,0.155555555556,0.25,4.0,ipod,46193.0,182922
6562,0,0,20150526,162217,-1,656,3,0.222222222222,0.266666666667,0.333333333333,6.0,iphone,44790.0,162896
6233,0,0,0,0,0,0,1,0.222222222222,0.222222222222,1.0,3.0,ipad,0,81136
7004,0,0,20150526,170643,0,1340,4,0.177777777778,0.177777777778,0.272727272727,11.0,iphone,861.333333333,173408
1450,0,0,20150527,3524,0,4170,2,0.333333333333,0.666666666667,1.0,7.0,ipad,34807.0,39989
5592,0,0,20150527,35612,0,2563,4,0.444444444444,0.444444444444,0.45,20.0,iphone,57243.0,207761
711,0,0,20150526,133739,0,775,2,0.222222222222,0.222222222222,0.75,4.0,iphone,41.0,134553
293,0,0,20150527,2418,1,1684,5,0.222222222222,0.222222222222,0.8,5.0,ipad,8504.75,36441
7545,0,0,0,0,0,0,1,0.222222222222,0.222222222222,0.75,4.0,iphone,0,81007
7884,0,0,0,0,0,0,1,0.222222222222,0.222222222222,0.5,6.0,ipad,0,153839
2927,0,0,20150526,114643,0,449,2,0.222222222222,0.222222222222,1.0,4.0,ipad,70361.0,115093
5153,0,0,20150527,7548,0,3664,6,0.4,0.4,0.441176470588,34.0,iphone,21461.8,115428
461,0,0,20150527,24276,0,10438,5,0.666666666667,0.933333333333,0.526315789474,38.0,ipad,11846.75,72606
7390,0,0,20150527,15678,0,12974,15,0.666666666667,0.666666666667,0.385714285714,70.0,iphone,5989.14285714,100239
8044,0,0,20150527,25496,-1,82,3,0.133333333333,0.133333333333,1.0,1.0,iphone,29404.0,84198
5559,0,0,20150527,80377,0,313,2,0.155555555556,0.155555555556,0.5,4.0,ipod,7740.0,88253
8465,0,0,20150526,105717,0,357,1,0.177777777778,0.222222222222,0.5,4.0,ipad,0,106075
6187,0,0,20150526,140030,-1,65,3,0.133333333333,0.133333333333,0,0,ipad,60.0,140127
420,0,0,0,0,-1,0,1,0.133333333333,0.133333333333,0,0,iphone,0,15434
6398,0,0,20150526,92533,0,2731,2,0.222222222222,0.444444444444,0.444444444444,9.0,ipad,181.0,94037
225,0,0,20150526,97434,-1,186,1,0.155555555556,0.222222222222,1.0,2.0,iphone,0,97621
7535,0,0,0,0,0,0,2,0.2,0.2,0.75,4.0,iphone,220.0,59322
470,0,0,20150526,168498,0,2502,4,0.444444444444,0.444444444444,0.65,20.0,iphone,3316.0,178842
3639,0,0,20150526,128048,0,504,2,0.177777777778,0.177777777778,0.285714285714,7.0,iphone,8362.0,128553
343,0,0,20150527,6647,0,589,2,0.266666666667,0.666666666667,0.625,8.0,iphone,6731.0,7237
7614,0,0,20150525,185437,0,3146,4,0.444444444444,0.444444444444,0.75,12.0,ipod,23961.3333333,245571
6598,0,0,0,0,-1,0,1,0.133333333333,0.133333333333,1.0,1.0,iphone,0,179598
7172,0,0,20150527,29134,-1,783,4,0.177777777778,0.222222222222,0.4,10.0,ipad,3739.0,40429
2212,0,0,20150527,84756,0,322,1,0.177777777778,0.177777777778,1.0,3.0,iphone,0,85079
2818,0,0,20150526,116153,1,1403,3,0.222222222222,0.222222222222,0.6,5.0,iphone,30264.0,177626
5322,0,0,0,0,1,0,1,0.155555555556,0.155555555556,1.0,2.0,iphone,0,125484
6627,0,0,0,0,0,0,1,0.4,0.4,0.8,15.0,ipad,0,101717
6607,0,0,0,0,0,0,1,0.222222222222,0.222222222222,0.5,6.0,iphone,0,164651
2270,0,0,20150527,63600,0,430,2,0.222222222222,0.222222222222,1.0,2.0,iphone,28549.0,92273
1333,0,0,0,0,-1,0,1,0.133333333333,0.133333333333,0,0,ipad,0,150822
4200,0,0,0,0,0,0,1,0.288888888889,0.288888888889,0.875,8.0,iphone,0,96326
4626,0,0,0,0,-1,0,1,0.133333333333,0.133333333333,0,0,ipod,0,72958
744,0,0,0,0,-1,0,1,0.155555555556,0.155555555556,0.5,2.0,ipad,0,160691
4379,0,0,20150526,108203,0,5388,7,0.4,0.4,0.568181818182,44.0,iphone,13222.3333333,187509
1471,0,0,20150525,180436,0,295,2,0.155555555556,0.155555555556,1.0,2.0,iphone,301.0,180732
7067,0,0,20150526,124196,-1,5,2,0.155555555556,0.155555555556,0.333333333333,3.0,iphone,265.0,124202
3680,0,0,20150526,118931,0,4237,11,0.177777777778,0.177777777778,0.163265306122,49.0,iphone,10484.4,214642
7570,0,0,20150525,252754,-1,307,3,0.155555555556,0.155555555556,0.666666666667,3.0,iphone,149.0,253178
9026,0,0,20150527,33280,-1,2185,7,0.133333333333,0.177777777778,0.1875,32.0,ipad,28827.3333333,206445
4759,0,0,0,0,0,0,1,0.266666666667,0.266666666667,0.833333333333,6.0,iphone,0,253368
1773,0,0,0,0,0,0,1,0.177777777778,0.177777777778,0.75,4.0,ipad,0,163732
2935,0,0,0,0,0,0,1,0.177777777778,0.177777777778,0.2,10.0,ipad,0,134820
3378,0,0,20150525,183499,0,2404,1,0.4,0.4,0.6875,16.0,ipad,0,185904
7835,0,0,20150525,174261,0,800,1,0.222222222222,0.222222222222,1.0,3.0,iphone,0,175062
716,0,0,20150527,39938,0,14540,8,0.555555555556,0.555555555556,0.338235294118,68.0,ipad,12382.2857143,126586
7044,0,0,20150527,13612,-1,81,2,0.133333333333,0.133333333333,0,0,iphone,6676.0,20367
4557,0,0,20150527,35967,-1,198,2,0.133333333333,0.155555555556,0.5,2.0,ipod,200.0,36301
1129,0,0,20150525,204172,0,6281,9,0.555555555556,0.555555555556,0.59375,32.0,iphone,2860.375,226193
8572,0,0,20150527,10215,0,1206,2,0.222222222222,0.222222222222,0.75,4.0,ipod,343.0,11474
3733,0,0,20150527,27937,0,1430,1,0.444444444444,0.511111111111,0.714285714286,14.0,ipad,0,29368
8614,0,0,0,0,0,0,1,0.2,0.2,1.0,4.0,iphone,0,185042
6866,0,0,20150527,22790,0,2745,5,0.333333333333,0.333333333333,0.5625,16.0,ipad,40385.25,184381
1553,0,0,20150527,8252,0,3969,6,0.333333333333,0.422222222222,0.533333333333,15.0,ipad,42085.4,218806
574,0,0,20150527,24854,0,12399,20,0.666666666667,0.666666666667,0.367088607595,79.0,iphone,10310.5789474,220755
5681,0,0,20150527,34438,0,3918,10,0.444444444444,0.444444444444,0.41935483871,31.0,ipad,11793.6666667,140586
8421,0,0,20150527,8379,0,554,2,0.2,0.311111111111,0.833333333333,6.0,ipod,2781.0,11581
8985,0,0,20150526,129476,0,1453,5,0.355555555556,0.355555555556,0.666666666667,12.0,iphone,12553.75,179738
8624,0,0,20150527,25449,0,214,2,0.177777777778,0.177777777778,0.4,5.0,iphone,77.0,25728
6024,0,0,20150527,15829,0,7850,12,0.666666666667,0.688888888889,0.827586206897,29.0,iphone,15924.8181818,192896
8528,0,0,20150527,14873,0,1438,7,0.222222222222,0.333333333333,0.333333333333,6.0,ipad,30359.0,197581
4968,0,0,0,0,-1,0,1,0.155555555556,0.155555555556,1.0,2.0,iphone,0,10985
1612,0,0,20150526,168673,0,804,3,0.222222222222,0.222222222222,0.6,5.0,iphone,38450.0,245702
1649,0,0,0,0,0,0,1,0.222222222222,0.222222222222,0.75,4.0,iphone,0,165423
518,0,0,0,0,0,0,1,0.222222222222,0.222222222222,1.0,3.0,iphone,0,83417
330,0,0,20150527,76140,0,2108,6,0.222222222222,0.222222222222,1.0,3.0,iphone,7529.6,113957
5741,0,0,0,0,-1,0,1,0.133333333333,0.133333333333,1.0,1.0,ipad,0,103772
1374,0,0,0,0,0,0,1,0.177777777778,0.177777777778,0.5,4.0,iphone,0,169613
8992,0,0,20150527,38977,0,5539,6,0.444444444444,0.444444444444,0.394736842105,38.0,iphone,17426.6,126064
4145,0,0,20150526,95603,1,7873,10,0.444444444444,0.444444444444,0.6875,16.0,iphone,13964.3333333,222365
705,0,0,20150527,18372,0,3295,3,0.288888888889,0.288888888889,0.342857142857,35.0,ipod,52323.0,124364
